,Mean,Std
NDVI_B8,0.0691770011273957,0.0029687992046237236
B3,0.014881623449830872,0.003319984183865802
SAVI,0.011634723788049584,0.0027489967358066574
B8,0.011183765501691067,0.003376470177647778
ar50_veg1,0.004013528748590733,0.0018117077273146027
